trial,block,stimId,category,response,rt,condition,id,phase
2,2,A250,Alpha,a,1588,2,12273,study
3,2,A150,Alpha,a,2381,2,12273,study
4,2,A350,Alpha,a,1447,2,12273,study
0,3,A50,Alpha,a,1423,2,12273,study
1,3,A250,Alpha,a,1528,2,12273,study
2,3,A150,Alpha,a,1480,2,12273,study
3,3,A350,Alpha,a,1692,2,12273,study
4,3,A450,Alpha,a,1249,2,12273,study
0,4,A250,Alpha,a,1861,2,12273,study
1,4,A350,Alpha,a,861,2,12273,study
2,4,A150,Alpha,a,1129,2,12273,study
3,4,A450,Alpha,a,905,2,12273,study
4,4,A50,Alpha,a,1133,2,12273,study
0,0,A350,Alpha,a,3957,2,12276,study
1,0,A50,Alpha,a,1780,2,12276,study
2,0,A450,Alpha,a,1092,2,12276,study
3,0,A250,Alpha,a,1120,2,12276,study
4,0,A150,Alpha,a,913,2,12276,study
0,1,A350,Alpha,a,724,2,12276,study
1,1,A450,Alpha,a,670,2,12276,study
2,1,A150,Alpha,a,668,2,12276,study
3,1,A50,Alpha,a,761,2,12276,study
4,1,A250,Alpha,a,641,2,12276,study
0,2,A150,Alpha,a,648,2,12276,study
1,2,A350,Alpha,a,565,2,12276,study
2,2,A450,Alpha,a,749,2,12276,study
3,2,A50,Alpha,a,591,2,12276,study
4,2,A250,Alpha,a,495,2,12276,study
0,3,A150,Alpha,a,490,2,12276,study
1,3,A350,Alpha,a,518,2,12276,study
2,3,A450,Alpha,a,568,2,12276,study
3,3,A250,Alpha,a,681,2,12276,study
4,3,A50,Alpha,a,628,2,12276,study
0,4,A50,Alpha,a,459,2,12276,study
1,4,A250,Alpha,a,489,2,12276,study
2,4,A450,Alpha,a,588,2,12276,study
3,4,A150,Alpha,a,445,2,12276,study
4,4,A350,Alpha,a,490,2,12276,study
0,0,A350,Alpha,a,2053,2,12279,study
1,0,A250,Alpha,a,1597,2,12279,study
2,0,A450,Alpha,a,1334,2,12279,study
3,0,A50,Alpha,a,801,2,12279,study
4,0,A150,Alpha,a,1201,2,12279,study
0,1,A450,Alpha,a,1375,2,12279,study
1,1,A50,Alpha,a,1054,2,12279,study
2,1,A350,Alpha,a,1044,2,12279,study
3,1,A250,Alpha,a,1409,2,12279,study
4,1,A150,Alpha,a,792,2,12279,study
0,2,A50,Alpha,a,676,2,12279,study
1,2,A450,Alpha,a,829,2,12279,study
2,2,A250,Alpha,a,570,2,12279,study
3,2,A350,Alpha,a,572,2,12279,study
4,2,A150,Alpha,a,916,2,12279,study
0,3,A50,Alpha,a,646,2,12279,study
1,3,A250,Alpha,a,746,2,12279,study
2,3,A350,Alpha,a,612,2,12279,study
3,3,A450,Alpha,a,705,2,12279,study
4,3,A150,Alpha,a,944,2,12279,study
0,4,A50,Alpha,a,904,2,12279,study
1,4,A350,Alpha,a,988,2,12279,study
2,4,A450,Alpha,a,972,2,12279,study
3,4,A250,Alpha,a,1005,2,12279,study
4,4,A150,Alpha,a,1100,2,12279,study
0,0,A450,Alpha,a,3459,2,12281,study
1,0,A50,Alpha,a,3974,2,12281,study
2,0,A150,Alpha,a,2614,2,12281,study
3,0,A250,Alpha,a,2413,2,12281,study
4,0,A350,Alpha,a,1334,2,12281,study
0,1,A50,Alpha,a,1670,2,12281,study
1,1,A150,Alpha,a,3017,2,12281,study
2,1,A250,Alpha,a,1727,2,12281,study
3,1,A450,Alpha,a,1281,2,12281,study
